iter	Passed	Remaining
347	1126	2110
348	1128	2105
349	1131	2100
350	1133	2096
351	1136	2092
352	1139	2088
353	1142	2084
354	1144	2079
355	1147	2075
356	1149	2070
357	1152	2066
358	1155	2062
359	1157	2058
360	1160	2054
361	1163	2050
362	1166	2046
363	1169	2042
364	1172	2039
365	1174	2035
366	1177	2031
367	1179	2025
368	1182	2021
369	1185	2017
370	1187	2013
371	1190	2009
372	1192	2004
373	1195	2000
374	1198	1997
375	1201	1993
376	1203	1989
377	1206	1985
378	1209	1981
379	1211	1977
380	1214	1973
381	1217	1969
382	1220	1965
383	1223	1962
384	1226	1958
385	1228	1954
386	1231	1950
387	1234	1946
388	1236	1942
389	1240	1939
390	1243	1936
391	1246	1933
392	1248	1929
393	1252	1925
394	1255	1922
395	1258	1919
396	1261	1916
397	1264	1912
398	1267	1908
399	1269	1904
400	1272	1901
401	1275	1897
402	1278	1893
403	1280	1889
404	1283	1885
405	1287	1883
406	1290	1879
407	1293	1876
408	1295	1872
409	1298	1869
410	1302	1865
411	1305	1862
412	1307	1858
413	1310	1855
414	1313	1851
415	1315	1847
416	1318	1843
417	1321	1839
418	1324	1836
419	1327	1832
420	1330	1829
421	1333	1826
422	1336	1822
423	1339	1819
424	1341	1815
425	1344	1812
426	1348	1809
427	1350	1805
428	1353	1801
429	1355	1797
430	1358	1793
431	1361	1789
432	1363	1785
433	1366	1782
434	1369	1778
435	1371	1774
436	1374	1770
437	1377	1767
438	1380	1763
439	1384	1761
440	1387	1758
441	1390	1754
442	1393	1751
443	1396	1748
444	1399	1745
445	1402	1742
446	1405	1738
447	1408	1734
448	1410	1731
449	1413	1727
450	1416	1724
451	1419	1721
452	1422	1717
453	1425	1713
454	1427	1710
455	1431	1707
456	1446	1718
457	1449	1715
458	1452	1711
459	1455	1708
460	1460	1708
461	1463	1704
462	1466	1700
463	1469	1697
464	1472	1693
465	1475	1690
466	1477	1686
467	1480	1683
468	1483	1679
469	1485	1675
470	1487	1670
471	1490	1667
472	1493	1663
473	1496	1660
474	1499	1657
475	1502	1653
476	1504	1649
477	1507	1646
478	1510	1642
479	1512	1638
480	1515	1635
481	1518	1631
482	1521	1628
483	1523	1624
484	1526	1621
485	1529	1617
486	1532	1614
487	1535	1610
488	1538	1608
489	1541	1604
490	1543	1600
491	1546	1596
492	1548	1592
493	1551	1588
494	1554	1585
495	1556	1581
496	1559	1578
497	1561	1574
498	1564	1570
499	1567	1567
500	1569	1563
501	1572	1559
502	1575	1556
503	1577	1552
504	1580	1549
505	1583	1546
506	1586	1542
507	1589	1539
508	1591	1535
509	1594	1531
510	1597	1528
511	1600	1525
512	1603	1522
513	1606	1518
514	1609	1515
515	1621	1520
516	1624	1517
517	1627	1514
518	1630	1511
519	1633	1507
520	1636	1504
521	1639	1500
522	1641	1497
523	1644	1494
524	1647	1490
525	1650	1487
526	1665	1494
527	1668	1491
528	1671	1488
529	1673	1484
530	1676	1480
531	1678	1476
532	1681	1473
533	1684	1469
534	1687	1466
535	1689	1462
536	1692	1459
537	1695	1455
538	1698	1452
539	1700	1448
540	1703	1445
541	1705	1440
542	1707	1437
543	1710	1433
544	1724	1439
545	1727	1436
546	1730	1432
547	1732	1429
548	1735	1425
549	1737	1421
550	1740	1418
551	1742	1414
552	1745	1410
553	1747	1407
554	1750	1403
555	1753	1399
556	1755	1396
557	1759	1393
558	1761	1389
559	1764	1386
560	1766	1382
561	1769	1379
562	1771	1375
563	1784	1379
564	1786	1375
565	1789	1371
566	1791	1368
567	1794	1364
568	1797	1361
569	1800	1358
570	1803	1354
571	1805	1351
572	1808	1347
573	1811	1344
574	1813	1340
575	1816	1336
576	1818	1333
577	1821	1329
578	1823	1326
579	1826	1322
580	1842	1329
581	1845	1325
582	1858	1328
583	1860	1325
584	1863	1322
585	1866	1318
586	1869	1315
587	1872	1312
588	1875	1308
589	1878	1305
590	1880	1301
591	1882	1297
592	1885	1294
593	1888	1290
594	1891	1287
595	1894	1284
596	1896	1280
597	1899	1276
598	1901	1273
599	1904	1269
600	1906	1266
601	1909	1262
602	1912	1258
603	1914	1255
604	1917	1251
605	1919	1248
606	1921	1244
607	1924	1240
608	1927	1237
609	1929	1233
610	1932	1230
611	1934	1226
612	1937	1223
613	1939	1219
614	1942	1215
615	1944	1212
616	1946	1208
617	1949	1204
618	1952	1201
619	1955	1198
620	1957	1194
621	1960	1191
622	1963	1188
623	1965	1184
624	1968	1180
625	1970	1177
626	1973	1174
627	1976	1170
628	1978	1167
629	1981	1163
630	1984	1160
631	1987	1157
632	1991	1154
633	1994	1151
634	1997	1148
635	2000	1144
636	2003	1141
637	2006	1138
638	2009	1135
639	2012	1131
640	2015	1128
641	2017	1125
642	2020	1122
643	2023	1118
644	2051	1128
645	2054	1125
646	2056	1122
647	2065	1121
648	2080	1125
649	2082	1121
650	2085	1118
651	2087	1114
652	2090	1110
653	2093	1107
654	2095	1103
655	2098	1100
656	2101	1097
657	2103	1093
658	2106	1090
659	2109	1086
660	2111	1082
661	2114	1079
662	2117	1076
663	2119	1072
664	2122	1069
665	2124	1065
666	2127	1062
667	2130	1058
668	2133	1055
669	2136	1052
670	2138	1048
671	2141	1045
672	2143	1041
673	2146	1038
674	2148	1034
675	2151	1031
676	2153	1027
677	2156	1024
678	2159	1020
679	2162	1017
680	2166	1014
681	2168	1011
682	2199	1020
683	2202	1017
684	2205	1014
685	2208	1010
686	2211	1007
687	2214	1004
688	2217	1000
689	2220	997
690	2222	993
691	2225	990
692	2228	987
693	2230	983
694	2233	980
695	2235	976
696	2238	973
697	2241	969
698	2244	966
699	2246	962
700	2249	959
701	2252	956
702	2254	952
703	2257	949
704	2261	946
705	2264	943
706	2267	939
707	2269	936
708	2272	932
709	2274	929
710	2277	925
711	2280	922
712	2282	918
713	2285	915
714	2287	911
715	2290	908
716	2293	905
717	2295	901
718	2298	898
719	2300	894
720	2303	891
721	2305	887
722	2308	884
723	2311	881
724	2314	877
725	2317	874
726	2319	871
727	2322	867
728	2324	864
729	2327	860
730	2330	857
731	2333	854
732	2336	850
733	2338	847
734	2341	844
735	2344	840
736	2347	837
737	2349	834
738	2352	830
739	2355	827
740	2358	824
741	2361	821
742	2365	818
743	2368	814
744	2371	811
745	2374	808
746	2377	805
747	2380	801
748	2383	798
749	2386	795
750	2389	792
751	2392	788
752	2395	785
753	2398	782
754	2401	779
755	2404	776
756	2407	772
757	2434	777
758	2438	774
759	2441	771
760	2444	767
761	2447	764
762	2451	761
763	2455	758
764	2458	755
765	2461	751
766	2464	748
767	2466	745
768	2469	741
769	2472	738
770	2475	735
771	2478	732
772	2481	728
773	2484	725
774	2487	722
775	2489	718
776	2492	715
777	2495	711
778	2498	708
779	2501	705
780	2504	702
781	2507	698
782	2509	695
783	2512	692
784	2515	688
785	2517	685
786	2520	682
787	2523	678
788	2526	675
789	2528	672
790	2531	668
791	2533	665
792	2536	662
793	2539	658
794	2541	655
795	2544	652
796	2547	648
797	2550	645
798	2552	642
799	2555	638
800	2557	635
801	2560	632
802	2564	629
803	2567	625
804	2569	622
805	2572	619
806	2575	616
807	2578	612
808	2581	609
809	2585	606
810	2587	603
811	2590	599
812	2593	596
813	2596	593
814	2599	589
815	2602	586
816	2605	583
817	2608	580
818	2611	577
819	2614	573
820	2616	570
821	2619	567
822	2622	564
823	2625	560
824	2628	557
825	2631	554
826	2634	551
827	2637	547
828	2641	544
829	2645	541
830	2647	538
831	2650	535
832	2667	534
833	2670	531
834	2673	528
835	2676	525
836	2679	521
837	2681	518
838	2684	515
839	2687	511
840	2689	508
841	2692	505
842	2695	502
843	2698	498
844	2701	495
845	2704	492
846	2706	488
847	2709	485
848	2712	482
849	2714	479
850	2717	475
851	2719	472
852	2722	469
853	2725	465
854	2728	462
855	2730	459
856	2733	456
857	2736	452
858	2739	449
859	2741	446
860	2744	443
861	2747	439
862	2750	436
863	2753	433
864	2757	430
865	2759	427
866	2762	423
867	2765	420
868	2769	417
869	2772	414
870	2775	411
871	2778	407
872	2781	404
873	2784	401
874	2787	398
875	2790	394
876	2792	391
877	2795	388
878	2800	385
879	2803	382
880	2806	379
881	2809	375
882	2812	372
883	2815	369
884	2818	366
885	2820	362
886	2823	359
887	2826	356
888	2829	353
889	2832	350
890	2835	346
891	2838	343
892	2840	340
893	2843	337
894	2846	333
895	2849	330
896	2853	327
897	2856	324
898	2858	321
899	2861	317
900	2863	314
901	2866	311
902	2869	308
903	2872	304
904	2874	301
905	2877	298
906	2880	295
907	2882	292
908	2885	288
909	2888	285
910	2891	282
911	2893	279
912	2896	276
913	2898	272
914	2901	269
915	2904	266
916	2907	263
917	2910	259
918	2913	256
919	2915	253
920	2918	250
921	2921	247
922	2924	243
923	2926	240
924	2929	237
925	2932	234
926	2934	231
927	2937	227
928	2940	224
929	2942	221
930	2945	218
931	2948	215
932	2950	211
933	2953	208
934	2956	205
935	2959	202
936	2962	199
937	2965	196
938	2968	192
939	2970	189
940	2973	186
941	2976	183
942	2979	180
943	2983	176
944	2985	173
945	2988	170
946	2992	167
947	2994	164
948	2997	161
949	3000	157
950	3002	154
951	3005	151
952	3008	148
953	3011	145
954	3020	142
955	3022	139
956	3025	135
957	3027	132
958	3030	129
959	3033	126
960	3036	123
961	3038	120
962	3041	116
963	3044	113
964	3046	110
965	3049	107
966	3052	104
967	3054	100
968	3057	97
969	3061	94
970	3063	91
971	3065	88
972	3068	85
973	3071	81
974	3074	78
975	3076	75
976	3079	72
977	3082	69
978	3084	66
979	3087	63
980	3090	59
981	3092	56
982	3096	53
983	3099	50
984	3102	47
985	3105	44
986	3107	40
987	3110	37
988	3112	34
989	3115	31
990	3117	28
991	3121	25
992	3123	22
993	3125	18
994	3128	15
995	3130	12
996	3133	9
997	3136	6
998	3138	3
999	3141	0
