iter	Logloss
0	0.6827016896
1	0.6730367683
2	0.6644794046
3	0.6554276348
4	0.6464028884
5	0.63762158
6	0.6293595611
7	0.6217377479
8	0.614553462
9	0.6077126891
10	0.6007985483
11	0.5945297848
12	0.5874080749
13	0.5802296384
14	0.5743780509
15	0.5676043518
16	0.5609393663
17	0.5560059924
18	0.5488907487
19	0.5427226723
20	0.5355611261
21	0.5289306779
22	0.5233418289
23	0.5162870714
24	0.5101310491
25	0.5043105612
26	0.4982133069
27	0.4923238536
28	0.4878974514
29	0.4819388801
30	0.4760523976
31	0.4713210489
32	0.4672498064
33	0.4649319485
34	0.4596321789
35	0.4548613279
36	0.4504951679
37	0.4459772329
38	0.4423278248
39	0.4381053961
40	0.434111126
41	0.4298538589
42	0.4250361988
43	0.4223480662
44	0.4182745247
45	0.4158368819
46	0.4109903355
47	0.4062549099
48	0.4037029763
49	0.4007338605
50	0.3977340225
51	0.3945731459
52	0.3905496389
53	0.3883504423
54	0.3847103155
55	0.3812347644
56	0.3776416823
57	0.374414804
58	0.3716721775
59	0.3705664479
60	0.3685029991
61	0.3652877941
62	0.3625640909
63	0.3591847487
64	0.356436699
65	0.3530660803
66	0.3505431508
67	0.3474569353
68	0.3456254961
69	0.3435161448
70	0.3410082696
71	0.3384035248
72	0.3365873177
73	0.3339210624
74	0.3320155751
75	0.330136306
76	0.3277156282
77	0.3252206887
78	0.3225846734
79	0.3206904856
80	0.3183835833
81	0.3160290111
82	0.3139013769
83	0.3118521469
84	0.3101384596
85	0.3078586349
86	0.3070308447
87	0.305052722
88	0.3030647107
89	0.3005079038
90	0.2988756767
91	0.2967043872
92	0.2942129385
93	0.2923809704
94	0.2907532004
95	0.2892480109
96	0.28731622
97	0.2859339924
98	0.28475508
99	0.2832316127
100	0.2820364577
101	0.2801865914
102	0.2786042877
103	0.2771488306
104	0.27559479
105	0.2742903313
106	0.2727946635
107	0.271848504
108	0.2703027853
109	0.2687068869
110	0.267011723
111	0.2653976658
112	0.2642561089
113	0.2631873536
114	0.2616316687
115	0.259996967
116	0.2587656496
117	0.2572704736
118	0.2559028316
119	0.254120116
120	0.2523040196
121	0.2514577152
122	0.250277234
123	0.2492369455
124	0.2481185538
125	0.2469434935
126	0.2455202957
127	0.2445675293
128	0.2436290802
129	0.2423595562
130	0.2412511279
131	0.240146283
132	0.2393600826
133	0.2380774313
134	0.2371058328
135	0.2364400708
136	0.2353851584
